Title,Year,Director,Literary_Credits,Subjects,Filming_Location,Production_Companies,Distribution_Companies
The Place Beyond the Winds,1916,Joseph De Grasse,Harriet Theresa Comstock ,Disease|Canada|Mountains|Fathers and daughters|Murder|Fugitives|Tenement-houses|Nurses|Puritanism,|Universal City California United States,Universal Film Mfg Co. ,Universal Film Mfg Co.; Red Feather Photoplays
Ramona,1916,Donald Crisp,Helen Hunt Jackson ,California--History|Murder|Frontier and pioneer life|Scots|Indians of North America--Mixed blood|Indians of North America|Racism,San Diego California United States|Hollywood California United States||Santa Paula California United States||Santa Barbara California United States|San Francisco California United States,Clune Film Producing Co.,State Rights
The Awakening of Helena Richie,1916,John W. Noble,Margaret Deland ,Adoption|Alcoholics|Mothers and sons|Clergy|Ostracism|Infanticide|Infidelity|Philanderers|Self-sacrifice|Village life,,"Rolfe Photoplays, Inc.",Metro Pictures Corp.
The Iron Woman,1916,Carl Harbaugh,Margaret Deland ,Friendship|Divorce|Industrial accidents|Gratitude|Mill owners|Marriage|Motherhood|Seduction|Physicians,Fort Lee New Jersey United States|Bethlehem Pennsylvania United States,"Popular Plays and Players, Inc.",Metro Pictures Corp.
Mr. Opp,1917,Lynn F. Reynolds,Alice Hegan Rice ,Brothers|Inheritance|Businessmen|Rewards|Coal mines|Self-sacrifice|Half sisters|Mayors|Reporters|Salesmen|Secretaries,,"Bluebird Photoplays, Inc.","Bluebird Photoplays, Inc."
Freckles,1917,Marshall Neilan,Gene Stratton-Porter ,Handicapped|Children|Inheritance|Grandfathers|Self-sacrifice|Lumber camps|Missing persons|Waifs|Naturalists|Runaways,,Jesse L. Lasky Feature Play Co. ,Paramount Pictures Corp.
The Secret of the Storm Country,1917,Charles Miller,Grace Miller White ,Bigamy|Heart disease|Marriage--Secret|Heiresses|Mothers and sons|Ostracism|Squatters,Ithaca New York United States|New York City New York United States,Norma Talmadge Film Corp.,Select Pictures Corp.
A Son of the Hills,1917,Harry Davenport,Harriet Theresa Comstock ,Divorce|Factories|Education|Industrialists|North Carolina|Jealousy|Mountains|Runaways|Stepmothers,Canton Pennsylvania United States,Vitagraph Co. of America,Greater Vitagraph (V-L-S-E)
Rebecca of Sunnybrook Farm,1917,Marshall Neilan,Kate Douglas Wiggin ,Boarding schools|Aunts|Farms|Nieces|Spinsters|Mortgages|Practical jokes|Youth,Pleasanton California United States,Mary Pickford Film Corp.,Artcraft Pictures Corp.
An Alabaster Box,1917,Chester Withey,Florence Morse Kingsley ||Mary E. Wilkins Freeman ,Businessmen|Ex-convicts|Embezzlement|Mobs|Employer-employee relations|New England|Fathers and daughters|Impersonation and imposture,Brooklyn New York United States,Vitagraph Co. of America; A Blue Ribbon Feature,Greater Vitagraph (V-L-S-E)
The Primrose Ring,1917,Robert Leonard,Ruth Sawyer ,Charity|Automobile accidents|Convalescence|Children|Detectives|Handicapped|Hospitals|Physicians|Nurses|Surgeons,Hollywood California United States|New York City New York United States,Jesse L. Lasky Feature Play Co. ,Paramount Pictures Corp.
Sandy,1918,George H. Melford,Alice Hegan Rice ,Adoption|Attempted murder|Bribery|Alcoholics|Immigrants|Aunts|Confession (Law)|Jockeys|Kentucky Derby|Elopement|False accusations|Fixed horse races|Judges|Kentucky|New York City|Ships|Stowaways,,Famous Players-Lasky Corp.,"Famous Players-Lasky Corp.,Paramount Pictures "
Sunshine Nan,1918,Charles Giblyn,Alice Hegan Rice ,Cathedrals|Chemical formulas|Chemists|Choirs (Music)|Confession (Law)|Fraud|Theft|Factories|Fights|Tomboys|Fires|Hospitals|Laboratories|Reformatories|Rescues|Stenographers,New York City New York United States,Famous Players-Lasky Corp.,Famous Players-Lasky Corp.; Paramount Pictures
Amarilly of Clothes-Line Alley,1918,Marshall Neilan,Belle K. Maniates ,Aunts|Bartenders|Cigarette girls|Butlers|Class distinction|Dancing|Experiments|Irish Americans|Laundresses|Sculptors|Nursing back to health|Tenement-houses,Hollywood California United States,Mary Pickford Film Corp.,Famous Players-Lasky Corp.
Kildare of Storm,1918,Harry L. Franklin,Eleanor Mercein Kelly ,Alcoholics|Child custody|Confession (Law)|False arrests|Imprisonment|Fights|Illegitimacy|Marriage--Arranged|Infidelity|Physicians|Mothers and daughters|Plantations|Planters|Pardons|Servants|Southerners|United States--South,Rye New York United States|New York City New York United States,Metro Pictures Corp.,Metro Pictures Corp.
The Panther Woman,1918,Ralph Ince,Gertrude Atherton ,False arrests|Dance hall girls|Electric chair|Lawyers|Fathers and daughters|Mining towns|Murder|Mining towns|Poisoning|Stepmothers,|Asheville North Carolina United States|New York City New York United States,Petrova Picture Co.,"First National Exhibitors' Circuit, Inc."
Uncle Tom's Cabin,1918,J. Searle Dawley,Harriet Beecher Stowe ,Disease|Children|Escapes|Mississippi River|Heaven|New Orleans (LA)|Kentucky|Sadism|Slavery--Emancipation|Ohio River|Slaves|Plantation owners|Southerners|Pledges|Rescues|Slave traders|Visions,New York City New York United States||,Famous Players-Lasky Corp.,"Famous Players-Lasky Corp.,Paramount Pictures "
Mrs. Wiggs of the Cabbage Patch,1919,Hugh Ford,Alice Hegan Rice ,Disinheritance|Adolescents|Family life|Illegitimacy|Orphanages|Nursing back to health|Sheriffs|Poverty|Runaways,,Famous Players-Lasky Corp.,Famous Players-Lasky Corp.; Paramount Pictures
Dawn,1919,J. Stuart Blackton,Eleanor H. Porter ,Artists|Blindness|Gossip|Attempted suicide|Nurses|Eye surgery|Schools for the blind|Gossip|Heiresses|Housekeepers|Stepfathers|War injuries,,"J. Stuart Blackton Feature Pictures, Inc.","Pathé Exchange, Inc."
False Evidence,1919,Edwin Carewe,Mary E. Wilkins Freeman ,California|Cousins|Dances|Lynching|Fathers and daughters|Marriage--Arranged|Scottish Americans|Flirts|Social customs|Kisses|Knife wounds|Village life|Self-sacrifice|Trees,Santa Cruz California United States||Hollywood California United States,Metro Pictures Corp.,Metro Pictures Corp.
Pollyanna,1920,Paul Powell,Eleanor H. Porter ,Disillusionment|Aunts|Automobile accidents|Physicians|Cures|Good Samaritans|Orphans|Paralysis|Paraplegics|Small town life,,Mary Pickford Co.,United Artists Corp.
Humoresque,1920,Frank Borzage,Fannie Hurst ,Cures|Children|Jews|France|Mothers and sons|Handicapped|Soldiers|New York City|World War I|Violinists|War injuries,,Cosmopolitan Productions,"Famous Players-Lasky Corp.,Paramount-Artcraft Pictures"
Judy of Rogue's Harbor,1920,William D. Taylor,Grace Miller White ,Assassination|Cads|Battered children|Conspiracy|Grandfathers|Neighbors|Sisters|Parentage|Waifs|Governors|Vigilantes,Los Angeles California United States|Pasadena California United States,Realart Pictures Corp.,Realart Pictures Corp.
Just Around the Corner,1921,Frances Marion,Fannie Hurst ,Family life|Family relationships|Messengers|New York City--East Side|Ushers,New York City New York United States,Cosmopolitan Productions,Paramount Pictures 
Silent Years,1921,Louis J. Gasnier,Harriet Theresa Comstock ,Dogs|French Canadians|Invalids|Mortgages|Motherhood|Parentage|St. Lawrence River|Sisters,Truckee California United States,R-C Pictures ,
Nobody's Kid,1921,Howard Hickman,Kate Langley Bosher ,Adolescence|Grandfathers|Judges|Orphanages|Orphans|Parentage,Hollywood California United States,Robertson-Cole Pictures,
Hungry Hearts,1922,E. Mason Hopper,Anzia Yezierska ,Finance--Personal|Immigrants|Jews|Landlords|Lawyers|Russians,New York City New York United States,Goldwyn Pictures Corp.,
The Good Provider,1922,Frank Borzage,Fannie Hurst ,Bankruptcy|Immigrants|Jews|New York City|Small town life,,Cosmopolitan Productions,"Famous Players-Lasky Corp.,Paramount Pictures "
Tess of the Storm Country,1922,John S. Robertson,Grace Miller White |Rupert Hughes ,Brothers and sisters|Family relationships|Injustice|Murder|Poverty|Squatters,Chatsworth California United States,Mary Pickford Co.,United Artists 
Little Miss Smiles,1922,Jack Ford,Myra Kelly ,Blindness|Boxers|Brothers and sisters|Family life|Gangsters|Jews|New York City|Physicians|Tenement-houses,Hollywood California United States|Los Angeles California United States,Fox Film Corp.,Fox Film Corp.
Miss Lulu Bett,1922,William C. de Mille,Zona Gale ,Bigamy|Brothers|Dentists|Drudges|Justices of the peace|Reputation|Schoolteachers|Small town life|Spinsters,Hollywood California United States,Famous Players-Lasky Corp.,Paramount Pictures 
Michael O'Halloran,1923,James Leo Meehan,Gene Stratton-Porter ,Birds|Handicapped|Lawyers|Orphans|Poverty|Rural life|Wealth,Culver City California United States,Gene Stratton-Porter Productions,W. W. Hodkinson Corp.
So Big,1924,Charles Brabin,Edna Ferber ,Architects|Chicago (IL)|Dutch|Farmers|Illinois|Motherhood|Schoolteachers|Truck farmers,,"First National Pictures, Inc.","First National Pictures, Inc."
A Girl of the Limberlost,1924,James Leo Meehan,Gene Stratton-Porter ,Adolescence|Dogs|High school students|Infidelity|Marshes|Motherhood|Quicksand,,Gene Stratton Porter Productions ,Film Booking Offices of America 
Salome of the Tenements,1925,Sidney Olcott,Anzia Yezierska ,Blackmail|Couturiers|Jews|New York City|Newspapers|Philanthropists|Reporters|Secretaries|Usury,Astoria New York United States|New York City New York United States,Famous Players-Lasky Corp.,Paramount Pictures Corp.
The Keeper of the Bees,1925,James Leo Meehan,Gene Stratton-Porter ,Bees and wasps|Marriage|Reputation|Self-sacrifice|Tomboys|Veterans,Santa Barbara California United States,"Gene Stratton Porter Productions, Inc.",Film Booking Offices of America 
The Pearl of Love,1925,Leon E. Dadmun,Harriet Beecher Stowe ,Adoption|Maine|Shipwrecks|Smuggling,,Paul W. Whitcomb Productions,Lee-Bradford Corp.
Lovey Mary,1926,King Baggot,Alice Hegan Rice ,Canneries|Children|Courtship|Exterminators|Orphanages|Orphans,,Metro-Goldwyn-Mayer Corp.,Metro-Goldwyn-Mayer Distributing Corp.
Laddie,1926,James Leo Meehan,Gene Stratton-Porter ,Children|Courtship|English|Exile|Family life|Ohio|Pioneers,,Gene Stratton-Porter Productions,Film Booking Offices of America 
The Harvester,1927,James Leo Meehan,Gene Stratton-Porter ,Detectives|Herbs|Marriage|Nurses|Parentage|Physicians|Rural life,,R-C Pictures Corp.,Film Booking Offices of America 
The Magic Garden,1927,James Leo Meehan,Gene Stratton-Porter ,Gardens|Suicide|Venice (Italy)|Violinists|Yachts and yachting,,"Gene Stratton Porter Productions, Inc.",Film Booking Offices of America 
Topsy and Eva,1927,Del Lord,Catherine Chisholm Cushing ,African Americans|Uncle Tom's Cabin (Novel)|Children|Miracles|Slavery,,"Feature Productions, Inc.",United Artists Corp.
Freckles,1928,James Leo Meehan,Gene Stratton-Porter ,Amputees|Forests|Lumber camps|Lumber industry|Orphans|Thieves|Lumber,Hollywood California United States,"F.B.O. Productions, Inc.","F.B.O. Productions, Inc."
Ramona,1928,Edwin Carewe,Helen Hunt Jackson,Amnesia|Dogs|Indians of North America|Indians of North America--Mixed blood|Murder|Spaniards,Hollywood California United States,"Inspiration Pictures, Inc.",United Artists Corp.
Uncle Tom's Cabin,1928,Harry A. Pollard,Harriet Beecher Stowe ,"African Americans|African Americans--Mixed blood|Dred Scott Decision, 1857|Drunkenness|Extradition|Family relationships|Kentucky|Lawyers|Marriage|New Orleans (LA)|Plantation owners|Plantations|Quakers|River boats|Slaves",,Universal Pictures Corp.,Universal Pictures Corp.
Linda,1929,Mrs. Wallace Reid,Margaret Prescott Montague,Bigamy|Lumberjacks|Marriage|Physicians|Schoolteachers,Fort Lee New Jersey United States,"Cliff Broughton Productions,Mrs. Wallace Reid Productions,Willis Kent Productions","First Division Pictures ,States' rights"
The Woman Who Was Forgotten,1930,Richard Thomas,Bess Streeter Aldrich ,Bankers|Embezzlement|Schoolteachers|Students,,"Woman Who Was Forgotten, Inc.",States Cinema Corp.
Mother's Cry,1930,Hobart Henley,Helen Grace Carlisle ,Architects|Blackmail|Capital punishment|Family life|Gangsters|Intellectuals|Motherhood|Murder|Seamstresses|Widows,Burbank California United States,"First National Pictures, Inc.","First National Pictures, Inc."
Cimarron,1931,Wesley Ruggles,Edna Ferber ,"African Americans|Marriage|Newspapers|Cherokee Indians|Oklahoma|Citizenship|Settlers|Department store owners|Editors|United States--History--Reconstruction, 1865-1898|Family relationships|Gambling houses|Gunfights|Industrial accidents|Intolerance|Jews|Land rushes|Lawyers|Murder|Oil|Osage Indians|Outlaws|Political corruption|Printers|Prostitution|Rough Riders|Self-sacrifice|Servants|Spanish-American War, 1898|Statues|Tramps|Trials|United States. Congress. House of Representatives|Wichita (KS)|Women in politics|Women reporters",Bakersfield California United States,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
So Big,1932,William A. Wellman,Edna Ferber ,Farmers|Architects|Idealism|Artists|Asparagus|Mothers and sons|Businessmen|Chicago (IL)|Children|Churches|Dutch Americans|Friendship|Infidelity|Love affairs|Lure of riches|Ministers|Physicians|Prostitution|Salesmen|Sculptors|Teachers|United States--Midwest|Widows,,"Warner Bros. Pictures, Inc.","The Vitaphone Corp.,Warner Bros. Pictures, Inc."
Back Street,1932,John M. Stahl,Fannie Hurst ,Infidelity|Beer gardens|Cincinnati (OH)|Love|Mistresses|Death and dying|Engagements|Reputation|Fathers and daughters|Self-sacrifice|Family relationships|Fires|Funerals|Inventors|Neighbors|New York City|Paris (France)|Proposals (Marital)|Rescues|Stepmothers|Stroke,,Universal Pictures Corp.,Universal Pictures Corp.
Tess of the Storm Country,1932,Alfred Santell,Grace Miller White | Rupert Hughes,Baptism|Attempted rape|Attempted suicide|Class distinction|False accusations|Dances|Fathers and daughters|Fathers and sons|Fishermen|Fires|Game wardens|Illegitimacy|Sea captains|Infants|Monkeys|Self-sacrifice|Motorboats|Squatters|Rescues|Ship crews|Shootings,,Fox Film Corp.,Fox Film Corp.
Rebecca of Sunnybrook Farm,1932,Alfred Santell,Kate Douglas Wiggin,Aunts|Atheists|Innocents|Bus drivers|Regeneration|Buses|Charity|Rural life|Childbirth|Christmas|Clinics|Engagements|Maine|Marriage--Common law|Medical ethics|Missionaries|Physicians|Snow storms|Syria,,Fox Film Corp.,Fox Film Corp.
Mrs. Wiggs of the Cabbage Patch,1934,Norman Taurog,Alice Hegan Rice |Anne Crawford Flexner ,Children|Acrobats|Desertion (Marital)|Advertisements|Good Samaritans|Alcoholics|Charities|Poverty|Shantytowns|Death and dying|Dogs|Horses|Hospitals|Invalids|Long-lost relatives|Marriage|Mortgages|Spinsters|Thanksgiving Day|Vaudeville|Weddings,|Calabasas California United States,"Paramount Productions, Inc.","Paramount Productions, Inc."
Imitation of Life,1934,John M. Stahl,Fannie Hurst ,Death by shock|Maids|Engagements|Mothers and daughters|Racial impersonation|Funerals|Racism|Generation gap|Self-sacrifice|Ichthyologists|Women in business|Maturation|Parties|Restaurateurs|Runaways|Schoolteachers|Self-reliance|Vagabonds|Wealth|Widows,,Universal Pictures Corp.,Universal Pictures Corp.
A Girl of the Limberlost,1934,Christy Cabanne,Gene Stratton-Porter ,Accidental death|Indiana|Infidelity|Aunts|Butterflies|Mothers and daughters|Romance|Childbirth|Eccentrics|Swamps|Engagements|Finance--Personal|Jealousy|Physicians|Schools|Thieves|Uncles,,Monogram Pictures Corp.,Monogram Pictures Corp.
Freckles,1935,Edward Killy||William Hamilton,Gene Stratton-Porter ,Accidents|Children|Forests|Bears|Dolls|Gangsters|Ex-convicts|Orphans|General stores|Schoolteachers|Gunshot wounds|Lumber camps|Lumberjacks|Machine-guns|Mothers and daughters|Newspapers|Orphans|Rescues|Romance|Thieves|United States. Federal Bureau of Investigation,,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
Laddie,1935,George Stevens,Gene Stratton-Porter ,Children|Engagements|English|Class distinction|Forests|Farmers|Long-lost relatives|Family relationships|Physicians|Indiana|Romance|Prayer|United States--History--19th century|Proposals (Marital),Chino California United States|Sunland California United States,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
The Keeper of the Bees,1935,Christy Cabanne,Gene Stratton-Porter ,Beekeepers|Cousins|Illegitimacy|Fatherhood|Marriage--Forced by circumstances|Grandmothers|Rejuvenation|Heart disease|Hitchhiking|Rural life|Veterans|Hospitals|Housekeepers|Infants|Inheritance|Long-lost relatives|Male impersonation|Mothers and daughters|Nurses|Orphans|Physicians|Reputation|Self-sacrifice|Tomboys|War injuries|Weddings,|San Pedro California United States,Monogram Pictures Corp.,"Monogram Pictures Corp.,Republic Pictures Corp."
Come and Get It,1936,Howard Hawks||William Wyler,Edna Ferber,Aging|Doubles|Fathers and sons|Gamblers|Millionaires|Family relationships|Lumber camp foremen|Paper products|Marriage|Saloons|Singers|Unrequited love|Swedish Americans|United States--History--Social life and customs,,"Howard Productions, Inc.",United Artists Corp.
The Harvester,1936,Joseph Santley,Gene Stratton-Porter ,Farmers|Ambition|City-country contrast|Marriage--Arranged|Engagements|Romantic rivalry|Small town life|Farm life|Grandmothers|Henpecked husbands|Indiana|Inventions|Orphanages|Orphans|Progress|Real estate agents,,Republic Pictures Corp.,Republic Pictures Corp.
Ramona,1936,Henry King,Helen Hunt Jackson,California--History--1846-1850|Christianity|Indians of North America--Mixed blood|Dances|Funerals|Indians of North America|Racism|Horseracing|Romance|Horse thieves|Jealousy|Land rights|Marriage|Mexican Americans|Murder|Physicians|Priests|Servants|Settlers|Wards and guardians,|,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
Underworld,1937,Oscar Micheaux,Edna Mae Baker,Accidental death|African Americans|Automobile accidents|Chicago (IL)|City-country contrast|Beauty operators|Confidence men|College students|Duplicity|Detectives|False accusations|Drugging|Murder|Infidelity|Singers|Nervous breakdown|Nightclub owners|Nightclubs|Pawnbrokers|Thieves|Trains,,Micheaux Pictures Corp.,"Sack Amusement Enterprises, Inc."
Michael O'Halloran,1937,Karl Brown,Gene Stratton-Porter ,"Child custody|Brothers and sisters|Foster children|Children|Divorce|Nightclubs|Operations, Surgical|Handicapped|Physicians|Transformation|Raids|Trials",,Republic Pictures Corp.,Republic Pictures Corp.
Romance of the Limberlost,1938,William Nigh,Gene Stratton-Porter ,Aunts|Barns|Class distinction|Birds|Murder|Forests|Indentured servants|Rural life|Judges|Transformation|Unrequited love|Lawyers|Swamps|Trials|Widowers,,Monogram Pictures Corp.,Monogram Pictures Corp.
Rebecca of Sunnybrook Farm,1938,Allan Dwan,Kate Douglas Wiggin,Advertising|Auditions|Aunts|Business competition|Cereal products|Child custody|Children|Contracts|Farms|Cousins|Neighbors|Deception|Eviction|Radio broadcasting|Landladies|Singers|Lawyers|Physicians|Pigs|Radio performers|Romance|Stepfathers|Theatrical managers|Wells,,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
Gone with the Wind,1939,Victor Fleming,Margaret Mitchell ,"Death and dying|Accidental death|African Americans|Flirts|Georgia|Atlanta (GA)|Balls (Parties)|Lure of riches|Poverty|Barbecues|Servants|Blockades|Childbirth|United States--History--Civil War, 1861-1865|Christmas|United States--History--Reconstruction, 1865-1898|Clothes|United States--South|Confederate States of America. Army|Unrequited love|Convicts|Curtains|Dance parties|Drunkenness|Fires|Horses|Hospitals|Hunger|Infidelity|Ku Klux Klan|Lice|Lumber mills|Measles|New Orleans (LA)|Overseers|Physicians|Plantations|Prostitution|Rescues|River boats|Self-defense|Self-sacrifice|Slavery|Stairs|Stores, Retail|Widows",|Malibu California United States|Chico California United States||,"Selznick International Pictures, Inc.",Loew's Inc.
Her First Romance,1940,Edward Dmytryk,Gene Stratton-Porter,College students|Cousins|Courtship|Dances|Engagements|Jealousy|Flirts|Romantic rivalry|School life|Fraternities|Wards and guardians|Stepsisters|Picnicking,,Monogram Pictures Corp.,Monogram Pictures Corp.
Laddie,1940,Jack Hively,Gene Stratton-Porter ,Courtship|English|Nursing back to health|Farmers|Family life|Soldiers|Fathers and daughters|Fathers and sons|Snobs and snobbishness,,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
Cheers for Miss Bishop,1941,Tay Garnett,Bess Streeter Aldrich ,Adoption|Spinsters|Teachers|Aged persons|Banquets|United States--History|Universities|Cousins|Death in childbirth|Unrequited love|The Declaration of Independence|False accusations|Gardeners|Graduations|Grocers|Immigrants|Infidelity|The Little Minister (Novel)|Memory|Midwesterners|Presidents|Romantic rivalry|Seduction|Tests of character,,"Richard A. Rowland Productions, Inc.",United Artists Corp.
Back Street,1941,Robert Stevenson,Fannie Hurst ,Apartments|Automobile manufacturers|Bankers|Automobile racing|Boats|Love|Clothing industry|Marriage|Cincinnati (OH)|Mistresses|Salesclerks|Docks|Salesmen|Engagements|Europe|Unrequited love|Fathers and sons|Hotels|Landladies|New York City|Nightclubs|Ostracism|Paris (France)|Stepmothers|Stepsisters|Trains|Uncles,,"Universal Pictures Company, Inc.","Universal Pictures Company, Inc."
Mrs. Wiggs of the Cabbage Patch,1942,Ralph Murphy,Alice Hegan Rice |Anne Crawford Flexner ,Child welfare|Adoption|Class distinction|Charity|Death and dying|Family relationships|Poverty|Engagements|Horses|Matchmakers|Neighbors|Physicians|Reunions|Spinsters|Thanksgiving Day|Theater|Uncles|Weddings,,"Paramount Pictures, Inc.","Paramount Pictures, Inc."
In This Our Life,1942,John Huston,Ellen Glasgow ,African Americans|Lawyers|Automobile accidents|Liars|Automobile chases|Sisters|False accusations|Infidelity|Interior decorators|Lawyers|Manslaughter|Physicians|Suicide|Uncles,,"Warner Bros. Pictures, Inc.","Warner Bros. Pictures, Inc."
Freckles Comes Home,1942,Jean Yarbrough,Gene Stratton-Porter,Automobile accidents|Bank robberies|Gold|Fugitives|Gangsters|Hostages|Impersonation and imposture|Hotels|Land sales|Romance|Mortgages|Swindlers and swindling|United States. Federal Bureau of Investigation,,"Monogram Productions, Inc.",Monogram Pictures Corp.
The Vanishing Virginian,1942,Frank Borzage,Rebecca Yancey Williams,"Aging|African Americans|Automobiles, Antique|District attorneys|Family life|Bulls|Lynchburg (VA)|Cigarettes|United States--History--Social life and customs|Clergy|Elections|Farms|Funerals|Grandparents|Handkerchiefs|Heart disease|Ink|Jealousy|Lawyers|Racial impersonation|Servants|Singers|Trials|Women's suffrage|Working women",,Metro-Goldwyn-Mayer Corp.,Loew's Inc.
My Friend Flicka,1943,Harold Schuster,Mary O'Hara ,Children|Barbed wire|Debt|Fathers and sons|Disease|Horses|Maturation|Insanity|Ranchers|Mothers and sons|Mountain lions|Neighbors|Nursing back to health|Ranchhands|Roundups|Self-sacrifice|Stampedes|Swedish Americans|Wyoming,Cedar City Utah United States,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
A Tree Grows in Brooklyn,1945,Elia Kazan,Betty Smith,"Disillusionment|Adolescence|Family life|Alcoholics|""Annie Laurie"" (Song)|Fathers and daughters|Childbirth|Grief|Christmas Eve|Idealists|Maturation|Courtship|Death and dying|New York City--Brooklyn|Poverty|Education|Gossip|Graduations|Grandmothers|Infants|Insurance--Agents|Irish Americans|Marriage|Mothers and daughters|Neighbors|Police|Reconciliation|Saloon keepers|Schoolteachers|Scrubwomen|Sisters|Tenement-houses|Trees|Troilus and Cressida (Play)",,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
The Girl of the Limberlost,1945,Melchor Ferrer,Gene Stratton-Porter ,Accidental death|Battered children|Butterflies|Guilt|Mothers and daughters|Childbirth|Graduations|Rural life|Infidelity|Money|Schools|School superintendents and principals|Swamps|Thieves|Violins,,Columbia Pictures Corp.,Columbia Pictures Corp.
"Thunderhead, Son of Flicka",1945,Louis King|101085,Mary O'Hara ,Chases|Adolescents|Animal culture|Fights|Financial crisis|Family life|Horses|Horseracing|Ranchers|Maturation|Neighbors|Ranchhands|Swedish Americans|Veterinarians|Watches|Wyoming,|||||Gresham Oregon United States|||Kanab Utah United States||,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
The Egg and I,1947,Chester Erskine,Betty MacDonald ,Chickens|City-country contrast|Farms|Contests|Dances|Jealousy|Fairs|Newlyweds|Fires|Rural life|Mothers and daughters|Separation (Marital)|Neighbors|Salesmen|Sheriffs|Veterans,,"Universal-International Pictures Co., Inc.","Universal Pictures Company, Inc."
That Hagen Girl,1947,Peter Godfrey,Edith Roberts ,Class distinction|Adoption|Attempted suicide|College students|False accusations|Gossip|Illegitimacy|Fistfights|Insanity|Lawyers|Physicians|Professors|Romance|Romeo and Juliet (Play)|Small town life,,"Warner Bros. Pictures, Inc.","Warner Bros. Pictures, Inc."
Humoresque,1947,Jean Negulesco,Fannie Hurst,"Alcoholics|Ambition|Brothers|Art patronage|Concerts|Classical music|Mothers and sons|The Depression, 1929|Violinists|Dismissal (Employment)|Divorce|Fathers and sons|Grocers|Music schools|New York City|Parties|Pianists|Radio programs|Socialites|Suicide",Laguna Beach California United States,"Warner Bros. Pictures, Inc.","Warner Bros. Pictures, Inc."
Keeper of the Bees,1947,John Sturges,Gene Stratton-Porter ,Divorce|Artists|Beekeepers|False accusations|Disillusionment|Gossip|Heart disease|Orphans|Transformation|Orphanages,,Columbia Pictures Corp.,Columbia Pictures Corp.
